Name,URI,Region GSS code,Period,Sales volume,Reporting period,Average price All property types,Percentage change (yearly) All property types,Percentage change (monthly) All property types,House price index All property types,Sales volume All property types,Average price Detached houses,Percentage change (yearly) Detached houses,Percentage change (monthly) Detached houses,House price index Detached houses,Average price Semi-detached houses,Percentage change (yearly) Semi-detached houses,Percentage change (monthly) Semi-detached houses,House price index Semi-detached houses,Average price Terraced houses,Percentage change (yearly) Terraced houses,Percentage change (monthly) Terraced houses,House price index Terraced houses,Average price Flats and maisonettes,Percentage change (yearly) Flats and maisonettes,Percentage change (monthly) Flats and maisonettes,House price index Flats and maisonettes,Average price First-time buyers,Percentage change (yearly) First-time buyers,Percentage change (monthly) First-time buyers,House price index First-time buyers,Average price Former owner-occupiers,Percentage change (yearly) Former owner-occupiers,Percentage change (monthly) Former owner-occupiers,House price index Former owner-occupiers,Average price Cash purchases,Percentage change (yearly) Cash purchases,Percentage change (monthly) Cash purchases,House price index Cash purchases,Sales volume Cash purchases,Average price Mortgage purchases,Percentage change (yearly) Mortgage purchases,Percentage change (monthly) Mortgage purchases,House price index Mortgage purchases,Sales volume Mortgage purchases,Average price New build,Percentage change (yearly) New build,Percentage change (monthly) New build,House price index New build,Sales volume New build,Average price Existing properties,Percentage change (yearly) Existing properties,Percentage change (monthly) Existing properties,House price index Existing properties,Sales volume Existing properties,Pivotable date
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,2021-01,117,monthly,310213,2.4,0.6,141.0,117,563602.0,1.4,0.1,145.3,396695.0,1.4,0.4,143.4,338777.0,2.6,0.4,142.7,233679,1.5,1.2,135.8,293597,2.4,0.7,140.6,336851,2.2,0.6,141.6,306408,2.2,0.7,141.3,14,311035,2.4,0.6,140.9,103,385371,-0.3,0.4,138.0,18.0,307545,2.5,0.7,141.7,99,2021-01-01
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,2021-02,196,monthly,310070,2.3,0.0,140.9,196,559657.0,1.0,-0.7,144.3,395261.0,1.3,-0.4,142.9,337610.0,2.4,-0.3,142.2,235719,2.2,0.9,137.0,293582,2.3,0.0,140.6,336372,2.2,-0.1,141.4,306573,2.3,0.1,141.3,14,310865,2.3,-0.1,140.8,182,387307,-0.2,0.5,138.7,23.0,307197,2.5,-0.1,141.5,173,2021-02-01
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,2021-03,258,monthly,304797,1.5,-1.7,138.5,258,542903.0,-0.8,-3.0,140.0,386899.0,0.4,-2.1,139.9,330642.0,1.6,-2.1,139.3,234400,1.9,-0.6,136.2,288780,1.6,-1.6,138.3,330162,1.5,-1.8,138.8,301525,1.7,-1.6,139.0,24,305563,1.5,-1.7,138.4,232,384539,-1.5,-0.7,137.7,51.0,301602,2.0,-1.8,138.9,207,2021-03-01
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,2021-04,166,monthly,304579,4.4,-0.1,138.4,166,541465.0,2.0,-0.3,139.6,385874.0,3.1,-0.3,139.5,330100.0,4.3,-0.2,139.1,235027,5.7,0.3,136.6,288695,4.5,0.0,138.2,329631,4.3,-0.2,138.6,301349,4.8,-0.1,138.9,10,305341,4.4,-0.1,138.3,156,387495,2.5,0.8,138.8,18.0,301091,4.8,-0.2,138.7,148,2021-04-01
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,2021-05,148,monthly,304515,4.8,0.0,138.4,148,541906.0,2.4,0.1,139.7,385950.0,3.2,0.0,139.5,330288.0,5.0,0.1,139.2,234459,5.3,-0.2,136.3,288628,4.9,0.0,138.2,329578,4.6,0.0,138.6,301074,5.1,-0.1,138.8,18,305297,4.8,0.0,138.3,129,387138,1.3,-0.1,138.7,15.0,301053,5.4,0.0,138.7,133,2021-05-01
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,2021-06,311,monthly,310184,3.7,1.9,140.9,311,549064.0,0.7,1.3,141.6,392436.0,1.9,1.7,141.9,337605.0,4.1,2.2,142.2,236982,3.8,1.1,137.7,294009,3.8,1.9,140.8,335693,3.5,1.9,141.2,306171,3.7,1.7,141.2,38,311026,3.7,1.9,140.9,273,387448,-0.4,0.1,138.8,5.0,307301,4.3,2.1,141.5,306,2021-06-01
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,2021-07,66,monthly,303906,0.3,-2.0,138.1,66,542656.0,-1.8,-1.2,139.9,385818.0,-1.0,-1.7,139.5,330165.0,0.4,-2.2,139.1,232841,0.5,-1.7,135.3,287962,0.3,-2.1,137.9,329134,0.1,-2.0,138.4,300447,0.3,-1.9,138.5,7,304689,0.3,-2.0,138.0,59,381463,-2.6,-1.5,136.6,4.0,300916,0.7,-2.1,138.6,62,2021-07-01
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,2021-08,107,monthly,307138,1.0,1.1,139.6,107,553917.0,0.2,2.1,142.8,392327.0,0.4,1.7,141.8,333759.0,0.8,1.1,140.6,234386,1.9,0.7,136.2,290789,1.0,1.0,139.2,333207,1.0,1.2,140.1,303685,1.3,1.1,140.0,8,307925,1.0,1.1,139.5,99,382680,-1.5,0.3,137.1,9.0,304380,1.4,1.2,140.2,98,2021-08-01
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,2021-09,230,monthly,308365,2.5,0.4,140.1,230,561997.0,2.8,1.5,144.9,396125.0,2.4,1.0,143.2,334628.0,2.0,0.3,141.0,235402,3.7,0.4,136.8,291793,2.5,0.3,139.7,334919,2.6,0.5,140.8,305129,3.0,0.5,140.7,23,309134,2.5,0.4,140.0,206,385311,-0.1,0.7,138.0,21.0,305491,2.9,0.4,140.7,209,2021-09-01
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,2021-10,112,monthly,316614,4.6,2.7,143.9,112,584286.0,5.8,4.0,150.7,408098.0,4.7,3.0,147.5,344511.0,4.2,3.0,145.1,239525,5.3,1.8,139.2,299390,4.5,2.6,143.3,344384,4.7,2.8,144.8,312795,4.9,2.5,144.2,9,317448,4.5,2.7,143.8,101,388499,0.9,0.8,139.1,10.0,314313,5.0,2.9,144.8,102,2021-10-01
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,2021-11,141,monthly,314402,3.6,-0.7,142.9,141,580648.0,4.9,-0.6,149.7,405035.0,3.9,-0.8,146.4,342198.0,3.2,-0.7,144.2,237745,4.3,-0.7,138.2,297333,3.5,-0.7,142.4,341895,3.6,-0.7,143.8,310433,3.7,-0.8,143.1,9,315247,3.6,-0.7,142.8,131,386758,1.3,-0.4,138.5,30.0,312026,3.8,-0.7,143.7,111,2021-11-01
